dataset,method,compression_ratio,image_ratio,text_ratio,inner,n_samples,accuracy,mean_prefill_ms,mean_decode_ms,mean_throughput_tok_per_sec,peak_gpu_mem_gb,mean_image_fraction,mean_effective_compression,file
mathvista,snapkv,0.3,,,,50,0.16,238.02120000000005,1273.9790000000003,16.7384,11.725,,,mathvista_snapkv_cr0p30.jsonl
mathvista,snapkv,0.5,,,,50,0.16,233.72439999999997,1257.7035999999998,16.957000000000004,11.427,,,mathvista_snapkv_cr0p50.jsonl
mathvista,snapkv,0.7,,,,50,0.14,231.58280000000002,1255.3116000000002,16.7996,11.427,,,mathvista_snapkv_cr0p70.jsonl
mathvista,streaming,0.0,,,,50,0.16,202.64280000000002,1243.3329999999996,17.145799999999994,12.397,,,mathvista_streaming_cr0p00.jsonl
mathvista,streaming,0.3,,,,50,0.16,210.19420000000005,1258.7024000000001,16.952,11.725,,,mathvista_streaming_cr0p30.jsonl
mathvista,streaming,0.5,,,,50,0.18,210.8074000000001,1273.1591999999996,16.7444,11.427,,,mathvista_streaming_cr0p50.jsonl
mathvista,streaming,0.7,,,,50,0.18,208.71900000000002,1269.3716,16.843199999999996,11.427,,,mathvista_streaming_cr0p70.jsonl
mmmu,h2o,0.0,,,,30,0.6,372.8103333333334,302.06066666666663,16.547,8.759,,,mmmu_h2o_cr0p00.jsonl
mmmu,h2o,0.3,,,,30,0.7,206.37433333333334,277.9536666666666,16.790333333333333,8.688,,,mmmu_h2o_cr0p30.jsonl
mmmu,h2o,0.5,,,,30,0.6666666666666666,185.8213333333333,252.3166666666666,17.131666666666668,8.626,,,mmmu_h2o_cr0p50.jsonl
mmmu,h2o,0.7,,,,30,0.7,189.98099999999997,253.18066666666672,17.12033333333333,8.623,,,mmmu_h2o_cr0p70.jsonl
mmmu,modality,,0.3,0.1,h2o,30,0.7,202.74200000000005,291.1523333333334,16.56566666666667,8.69,,0.2176,mmmu_modality-h2o_i0p30_t0p10.jsonl
mmmu,modality,,0.5,0.2,h2o,30,0.6666666666666666,201.38833333333332,278.6873333333334,16.829333333333334,8.632,,0.37666666666666676,mmmu_modality-h2o_i0p50_t0p20.jsonl
mmmu,modality,,0.7,0.2,h2o,30,0.6666666666666666,203.6086666666667,286.4646666666667,16.427333333333333,8.623,,0.4939666666666667,mmmu_modality-h2o_i0p70_t0p20.jsonl
mmmu,modality,,0.7,0.3,h2o,30,0.6666666666666666,199.15766666666667,271.626,16.859666666666666,8.623,,0.5347333333333334,mmmu_modality-h2o_i0p70_t0p30.jsonl
mmmu,modality,,0.8,0.3,h2o,30,0.6666666666666666,201.772,292.1673333333334,16.573666666666668,8.623,,0.5937,mmmu_modality-h2o_i0p80_t0p30.jsonl
mmmu,pyramid,0.0,,,,30,0.6333333333333333,128.12866666666665,293.0683333333333,16.464666666666666,8.759,,,mmmu_pyramid_cr0p00.jsonl
mmmu,pyramid,0.3,,,,30,0.6333333333333333,154.55166666666668,290.6856666666667,16.675666666666668,8.688,,,mmmu_pyramid_cr0p30.jsonl
mmmu,pyramid,0.5,,,,30,0.7,151.44366666666667,284.9563333333334,16.823,8.634,,,mmmu_pyramid_cr0p50.jsonl
mmmu,pyramid,0.7,,,,30,0.6666666666666666,150.73333333333332,640.2166666666668,16.59433333333333,8.623,,,mmmu_pyramid_cr0p70.jsonl
mmmu,snapkv,0.0,,,,30,0.6666666666666666,130.09300000000002,285.03600000000006,16.873666666666665,8.759,,,mmmu_snapkv_cr0p00.jsonl
mmmu,snapkv,0.3,,,,30,0.6666666666666666,154.71099999999998,296.6166666666667,16.831333333333333,8.688,,,mmmu_snapkv_cr0p30.jsonl
mmmu,snapkv,0.5,,,,30,0.6333333333333333,157.91466666666662,285.661,16.970333333333333,8.626,,,mmmu_snapkv_cr0p50.jsonl
mmmu,snapkv,0.7,,,,30,0.6333333333333333,150.34266666666664,638.3096666666665,17.005666666666666,8.623,,,mmmu_snapkv_cr0p70.jsonl
